ID,Type,Movie_number,Fly_number,Other_number,Difference_x,Difference_y,Distance
273,Dmelanogaster,1,6,14,-14.25408779,11.07254971,18.04938713
274,Dmelanogaster,1,7,14,43.75012513,-54.50013591,69.88804091
275,Dmelanogaster,1,8,14,15.18709359,-33.25761867,36.56114072
276,Dmelanogaster,1,9,14,57.35348158,-44.85876284,72.81298272
277,Dmelanogaster,1,10,14,40.08191517,-44.80723554,60.11861842
278,Dmelanogaster,1,11,14,46.71660098,-6.548078475,47.1732778
279,Dmelanogaster,1,12,14,6.647636624,-29.46441343,30.2050117
280,Dmelanogaster,1,13,14,-15.40576864,-69.22587517,70.91938734
281,Dmelanogaster,1,15,14,-5.822422905,10.35638656,11.88088174
282,Dmelanogaster,1,16,14,6.08406397,-8.526997173,10.47499476
283,Dmelanogaster,1,17,14,24.24570291,-59.22880799,63.9992641
284,Dmelanogaster,1,18,14,21.71719944,-80.63522297,83.5085381
285,Dmelanogaster,1,19,14,27.81766293,-86.74133872,91.09271219
286,Dmelanogaster,1,0,15,60.25726217,-66.56083246,89.78464268
287,Dmelanogaster,1,1,15,50.54411531,-61.56884315,79.65820761
288,Dmelanogaster,1,2,15,36.40301282,-82.79812132,90.44726771
289,Dmelanogaster,1,3,15,0.869122378,-3.430301674,3.538692313
290,Dmelanogaster,1,4,15,-2.199108964,-103.7554437,103.7787463
291,Dmelanogaster,1,5,15,50.61242449,-57.55108237,76.64035878
292,Dmelanogaster,1,6,15,-8.431664881,0.716163154,8.462024718
293,Dmelanogaster,1,7,15,49.57254803,-64.85652246,81.63213843
294,Dmelanogaster,1,8,15,21.00951649,-43.61400522,48.4105488
295,Dmelanogaster,1,9,15,63.17590449,-55.21514939,83.90415741
296,Dmelanogaster,1,10,15,45.90433808,-55.1636221,71.76512703
297,Dmelanogaster,1,11,15,52.53902388,-16.90446503,55.19157516
298,Dmelanogaster,1,12,15,12.47005953,-39.82079999,41.72767063
299,Dmelanogaster,1,13,15,-9.58334574,-79.58226173,80.15720116
300,Dmelanogaster,1,14,15,5.822422905,-10.35638656,11.88088174
301,Dmelanogaster,1,16,15,11.90648687,-18.88338373,22.32367825
302,Dmelanogaster,1,17,15,30.06812582,-69.58519454,75.80363771
303,Dmelanogaster,1,18,15,27.53962235,-90.99160953,95.06789049
304,Dmelanogaster,1,19,15,33.64008584,-97.09772527,102.7600293
305,Dmelanogaster,1,0,16,48.3507753,-47.67744873,67.90387757
306,Dmelanogaster,1,1,16,38.63762843,-42.68545942,57.57529659
307,Dmelanogaster,1,2,16,24.49652594,-63.9147376,68.44832697
308,Dmelanogaster,1,3,16,-11.0373645,15.45308205,18.99002791
309,Dmelanogaster,1,4,16,-14.10559584,-84.87205997,86.03623886
310,Dmelanogaster,1,5,16,38.70593761,-38.66769864,54.71142956
311,Dmelanogaster,1,6,16,-20.33815176,19.59954688,28.24504655
312,Dmelanogaster,1,7,16,37.66606116,-45.97313873,59.43283308
313,Dmelanogaster,1,8,16,9.103029618,-24.73062149,26.35277571
314,Dmelanogaster,1,9,16,51.26941761,-36.33176566,62.83749182
315,Dmelanogaster,1,10,16,33.9978512,-36.28023837,49.72031358
316,Dmelanogaster,1,11,16,40.63253701,1.978918698,40.68069792
317,Dmelanogaster,1,12,16,0.563572654,-20.93741626,20.94499973
318,Dmelanogaster,1,13,16,-21.48983261,-60.698878,64.39073455
319,Dmelanogaster,1,14,16,-6.08406397,8.526997173,10.47499476
320,Dmelanogaster,1,15,16,-11.90648687,18.88338373,22.32367825
